InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationTimeNs,DestructionTimeNs,MemoryUsed
100,10,333,13,375,12,875,47153,3833,3200
300,12,417,17,209,14,625,118149,10167,9600
500,12,458,17,208,14,584,216945,19125,16000
700,15,708,17,208,14,792,318378,24667,22400
900,14,625,19,208,14,625,419196,33250,28800
1000,14,667,21,208,16,666,465966,34542,32000
3000,18,625,21,250,17,583,1642289,111250,96000
5000,22,791,25,250,21,667,2846377,187375,160000
7000,22,667,29,250,24,875,4168117,269625,224000
9000,20,708,27,208,21,3292,5588119,370375,288000
10000,16,792,27,292,18,875,6374329,383750,320000
30000,21,709,27,250,21,1000,22378411,1229875,960000
50000,24,1042,31,333,25,1875,38990505,2369250,1600000
70000,23,1125,29,542,22,1042,58046463,3509291,2240000
90000,28,1250,37,417,30,1833,88504421,5405500,2880000
100000,28,1584,31,375,27,1042,103246769,6524125,3200000
300000,29,2292,37,417,29,1666,483778741,40160750,9600000
500000,30,2459,39,375,32,1791,895040615,64217583,16000000
700000,28,2417,37,500,29,2000,1061300153,75856500,22400000
900000,34,2250,43,583,36,2333,1689403290,129474750,28800000
1000000,32,2083,41,500,32,2000,1688277389,132062667,32000000
3000000,34,2708,45,542,35,2000,6421524335,379625125,96000000
5000000,32,2709,43,583,32,1959,11770191154,1169946959,160000000
7000000,33,4333,47,500,33,2000,18554723908,1787545333,224000000
9000000,35,3209,45,2459,34,1292,23907158193,2033142875,288000000
