InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationTimeNs,DestructionTimeNs,MemoryUsed
100,12,459,11,417,11,792,34171,4125,3200
300,15,500,19,208,17,667,115558,11792,9600
500,15,500,17,291,15,916,523276,20000,16000
700,13,500,21,208,15,709,301882,25209,22400
900,16,500,21,167,18,708,392922,30542,28800
1000,16,542,21,167,18,667,444400,35458,32000
3000,19,542,25,209,21,708,1550676,113833,96000
5000,19,625,25,291,21,834,2769676,189333,160000
7000,19,708,27,208,21,1625,4205389,319833,224000
9000,20,708,25,167,21,1167,5370614,352166,288000
10000,21,834,25,333,20,791,6732595,431000,320000
30000,23,667,29,250,25,1208,20651626,1203375,960000
50000,23,750,31,292,25,1250,36342697,2000625,1600000
70000,24,1083,35,4333,26,1250,60029482,4567916,2240000
90000,27,834,33,250,29,1292,72967509,4186500,2880000
100000,24,1125,33,291,26,1375,98056312,6866375,3199936
300000,23,1083,37,250,25,1500,341981977,23151959,9599648
500000,30,1833,39,334,30,1500,622473143,47262583,15999040
700000,29,2000,39,292,31,1584,942211457,70691042,22398464
900000,29,1542,39,333,31,1750,1309194394,92600250,28797504
1000000,22,1958,37,334,24,1666,1493085701,106782583,31996544
3000000,32,2500,41,333,33,1792,5907511768,364133000,95966144
5000000,29,2250,43,334,31,1959,11730469299,625207083,159907520
7000000,36,2541,47,375,38,1833,16791809952,1160184417,223823072
9000000,31,3000,45,291,32,1709,24560367117,1675124250,287700928
