InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationOperations,InitializationTimeNs,DestructionOperations,DestructionTimeNs,MemoryUsed
100,350,2976,65,2757,363,3104,30703,274669,901,15416,4800
300,402,3606,73,2948,421,3444,116107,959093,2701,39874,14400
500,399,2968,73,2695,415,3064,211454,1762400,4501,68198,24000
700,448,3137,81,2882,465,3170,313035,2206129,6301,84718,33600
900,497,2855,89,2534,519,2887,419300,2316178,8101,88498,43200
1000,500,2966,89,2753,515,3000,468551,2660331,9001,109169,48000
3000,595,3619,105,3311,619,3652,1661780,10112661,27001,346628,144000
5000,644,4066,113,3626,673,4112,2950761,18790996,45001,971202,240000
7000,598,3201,105,2956,623,3275,4285697,28209470,63001,1020759,336000
9000,693,4077,121,3693,721,4074,5666867,33306944,81001,1806767,432000
10000,600,3405,105,2981,627,3435,6369012,43810878,90001,1397302,480000
30000,696,6360,121,4307,725,10278,21527996,126271442,270001,18632167,1440000
50000,793,5785,136,5052,827,5733,37645232,260255230,449992,24199349,2400000
70000,791,5622,137,5086,825,5681,54314550,393986835,630001,29753112,3360000
90000,795,5216,137,4852,823,5156,71417756,477302449,810001,35148342,4320000
100000,843,5387,145,4698,885,5357,80122588,523973987,900001,32826208,4800000
300000,944,6258,161,5849,977,6218,264584459,2034985482,2700001,143701721,14400000
500000,992,12371,169,6258,1035,14622,459327518,3688469649,4500001,267917231,24000000
700000,1036,7413,177,6758,1081,7464,660231714,5403321853,6300001,336362853,33600000
900000,1039,15937,177,10239,1081,20409,863758480,7366367139,8100001,429716124,43200000
1000000,1036,7372,177,6871,1075,7391,970686290,8188315001,9000001,467029263,48000000
3000000,989,7371,168,6740,1025,7303,3145856317,29377950317,26999992,1737742925,144000000
5000000,1088,8693,185,7827,1137,8920,5413550982,52240707969,45000001,3108076223,240000000
7000000,1036,8076,177,7517,1075,8085,7761745636,78673323336,63000001,4878728540,336000000
9000000,1041,8627,177,7489,1091,8570,10116103563,107485326799,81000001,6477957912,432000000
