InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationTimeNs,DestructionTimeNs,MemoryUsed
100,7,1621,11,1613,9,1792,190134,8532,11200
300,13,2623,18,2593,14,2814,689408,26477,33600
500,11,2532,19,2935,13,2609,1245055,49209,56000
700,16,2802,21,2621,18,2942,1691626,58042,78400
900,14,2462,21,2461,16,2623,2138222,70434,100800
1000,15,2496,21,2440,17,2633,2369021,69820,112000
3000,17,2301,23,2186,19,2425,7260128,212977,336000
5000,18,3058,25,2762,20,4966,15746798,584559,560000
7000,20,2681,27,2581,22,2786,18454673,490926,784000
9000,21,3022,27,2763,23,3100,28762227,951403,1008000
10000,17,2610,23,2740,19,3559,28973670,936183,1120000
30000,19,2825,29,2860,21,3019,99242098,3034945,3360000
50000,24,3458,35,3446,26,3606,190319579,4936467,5600000
70000,25,3704,33,3512,27,3839,258281624,10120251,7840000
90000,22,3581,31,3483,24,3728,390098077,20452441,10080000
100000,26,4109,33,3825,28,4248,454232586,22388278,11200000
300000,27,4569,37,4438,29,4718,1647328489,78007314,33600000
500000,32,5304,41,5013,34,5451,2932390545,142308340,56000000
700000,29,4881,39,4589,31,5028,4436214617,201497925,78400000
900000,30,5509,41,5006,32,5357,5599033862,262999522,100800000
1000000,29,5005,39,4774,31,5143,6476645450,287626889,112000000
3000000,35,5885,43,5320,37,5991,23819761515,910090821,336000000
5000000,29,5575,45,5714,31,5687,44138551827,1547631874,560000000
7000000,34,8367,46,6514,35,8405,57370188399,2226914132,784000000
9000000,36,6930,45,6004,38,6770,84817523135,2860466866,1008000000
