InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationTimeNs,DestructionTimeNs,MemoryUsed
100,15,342,8,113,9,172,60326,2973,5208
300,12,308,5,106,5,155,107693,8128,14904
500,18,319,10,119,10,177,188078,11990,24072
700,15,352,6,110,7,176,257774,15587,32160
900,16,302,8,114,8,160,348148,21467,43392
1000,15,298,8,110,8,161,393700,25732,48888
3000,15,279,6,115,6,156,1307398,72427,145368
5000,16,362,5,122,6,181,2781734,120635,244176
7000,21,368,9,139,10,199,3513836,160438,333144
9000,25,376,13,155,14,209,4882717,212860,434856
10000,20,331,9,134,9,180,5219091,226838,474984
30000,21,370,7,143,8,197,18815003,703999,1436352
50000,27,393,12,176,13,235,34353435,1182214,2392752
70000,32,566,17,262,17,349,73818813,3935378,3358800
90000,27,418,11,168,12,239,59552717,2248355,4354224
100000,31,444,16,188,16,253,83265780,3319391,4813896
300000,37,627,20,295,20,403,461689913,27104230,14385648
500000,27,556,9,255,9,341,1019833967,55227586,24054240
700000,37,609,20,310,20,392,1439283168,76060243,33602568
900000,33,684,15,284,16,403,1918223842,100610689,43220376
1000000,39,668,20,309,20,418,2097902610,113519052,47980464
3000000,31,642,11,275,12,377,8194733962,381695178,144053640
5000000,46,700,24,345,25,442,13130742366,656439437,239963136
7000000,48,722,27,388,27,468,19823200423,903171918,336002112
9000000,47,786,24,357,25,473,27051669601,1167996854,432046800
