InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationTimeNs,DestructionTimeNs,MemoryUsed
100,13,360,8,113,9,182,64709,2379,4224
300,15,368,8,114,8,186,120896,10001,14640
500,19,371,12,130,12,195,207888,15004,24480
700,11,366,3,106,4,182,300623,24945,34800
900,20,398,13,134,14,207,386571,29215,42936
1000,19,404,11,137,12,209,441532,30428,49128
3000,24,459,15,164,16,239,1414235,84611,142080
5000,22,408,12,151,12,221,2682397,141149,238800
7000,16,397,5,119,6,192,3939429,198584,333912
9000,30,436,19,185,19,256,5582924,275210,432792
10000,26,427,14,167,14,232,6064607,303234,477600
30000,25,393,11,148,12,216,17328909,743048,1444680
50000,28,393,15,157,15,218,33756644,1215224,2392536
70000,29,433,15,161,16,224,51894288,1687221,3357456
90000,33,666,18,249,19,353,87065953,5123317,4322016
100000,36,572,22,259,22,340,94138565,6340665,4791720
300000,30,519,13,220,13,303,324173061,20970146,14443248
500000,38,702,20,297,21,419,656362844,50669475,23964336
700000,41,750,24,302,25,417,1158949760,68878218,33576720
900000,45,639,26,329,26,404,1545605783,96562317,43207032
1000000,36,684,18,276,19,385,1886812576,111812528,47932296
3000000,31,580,11,246,11,340,6419631708,364148062,143979480
5000000,37,662,17,276,17,383,12445605882,613318755,239914368
7000000,29,595,8,226,9,330,19039691194,888620538,335677704
9000000,60,823,38,437,38,539,26737929042,1181648394,431615304
