InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationOperations,InitializationTimeNs,DestructionOperations,DestructionTimeNs,MemoryUsed
100,205,4481,181,3158,153,3931,14331,340281,782,11743,8080
300,271,5261,255,3861,205,4733,51324,1172828,2509,39628,25800
500,231,4449,213,3209,172,3949,97320,2035695,4071,70209,42800
700,212,4067,157,2724,139,3646,152416,2899142,5322,75262,57800
900,256,3656,235,2718,190,3341,175146,2696639,5799,65577,68600
1000,209,3501,165,2401,143,3122,203663,3468438,7185,94777,80520
3000,287,4822,233,3459,193,4469,778514,13111951,21755,320872,243480
5000,295,4604,261,3423,208,4275,1320164,23238063,35280,540837,400840
7000,268,3981,229,2893,188,3666,1823722,29364066,48973,740069,559160
9000,322,4734,267,3510,214,4454,2640518,42052087,62906,984943,718480
10000,316,5114,265,3729,215,4815,3019953,58214341,72504,1677605,813400
30000,332,5661,287,4351,224,5413,9779872,173882819,210711,6934411,2403080
50000,417,6021,407,4739,309,5769,16871940,358988957,349997,12568447,3999000
70000,400,7263,377,5669,292,6923,24320789,471402778,488975,24374488,5593160
90000,448,7819,421,6087,326,7433,33207224,706283126,627699,26332292,7185720
100000,382,7087,323,5366,253,6764,37005039,760382308,697943,27425867,7987040
300000,440,8261,403,6363,311,7875,122303242,2794489144,2102955,119418817,24015680
500000,439,7959,403,6142,310,7575,203408523,4799876111,3499483,206108251,39995840
700000,409,7751,363,5936,280,7470,294753045,7134879143,4923318,285871250,56132040
900000,584,10400,595,8399,448,10019,383877484,9743122535,6297515,390783740,71984520
1000000,444,8489,387,6623,301,8135,442000110,10831305108,7004577,418001282,80024800
3000000,511,10396,461,7982,354,9836,1479033702,39500967132,20991576,1612028511,239950360
5000000,547,11368,511,8904,390,10875,2450277461,69156843129,34995566,3183996549,399973160
7000000,572,11831,543,9268,408,11220,3525366946,105449978935,48989909,4849396717,559940760
9000000,597,12036,573,9614,433,11733,4572051991,143188572421,63008935,6620777013,720049480
