InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationTimeNs,DestructionTimeNs,MemoryUsed
100,10,2303,5,1603,5,2104,206289,8012,12080
300,13,2310,7,1638,8,2076,722011,15970,32520
500,17,3009,10,2244,10,2855,1341274,27334,55240
700,21,3529,13,2658,13,3269,1970704,40118,78120
900,16,3107,6,2142,7,2874,2682645,53163,104000
1000,21,2897,14,2206,14,2688,2556369,48566,110280
3000,21,3301,11,2420,11,3087,9307523,157853,337920
5000,36,4193,26,3348,26,3969,16184302,257017,558920
7000,26,3407,15,2803,15,3212,23465428,333231,778480
9000,26,4587,14,3395,14,4309,45875487,983268,1011920
10000,26,4025,15,3005,15,3751,38746080,674046,1116120
30000,23,4097,9,2889,10,3825,152747082,3182300,3366400
50000,32,6342,18,3955,18,6247,305595989,5142502,5583120
70000,26,6051,11,3804,12,5030,438524857,10377277,7845080
90000,31,5326,16,4056,16,5082,783534099,16425347,10109760
100000,33,5691,18,4285,18,5379,774924688,17495576,11161320
300000,36,6647,19,4902,20,6276,2541629963,63507334,33597200
500000,38,7117,21,5426,21,6868,4187206102,106434848,55924640
700000,26,5428,8,3808,8,5152,6274412579,144118103,78351600
900000,43,10248,25,8698,25,10128,8884818617,207511201,100797160
1000000,49,7734,30,6069,31,7438,10501507045,234051937,112040920
3000000,42,8762,20,6548,20,8729,30808486965,672335187,336008920
5000000,36,8010,14,5835,14,7683,57274138907,1155601634,559967720
7000000,40,8463,19,6273,20,8091,86012782283,1847362202,784004400
9000000,35,7946,14,5657,15,7503,113701673686,2522490699,1007790240
