BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,352,421,73,103,359,443
300,448,517,91,117,467,531
500,452,541,91,121,469,543
700,451,531,91,115,469,539
900,452,522,91,110,473,524
1000,497,555,100,119,515,564
3000,548,592,108,122,565,628
5000,599,660,118,134,623,654
7000,644,712,127,138,673,697
9000,646,645,127,121,665,639
10000,644,622,127,115,667,609
30000,745,693,145,124,771,692
50000,742,624,145,116,765,623
70000,745,900,145,160,779,949
90000,889,932,172,161,933,938
100000,797,690,154,122,827,693
300000,894,986,172,171,933,971
500000,993,1232,190,203,1031,1210
700000,1037,1349,198,220,1075,1325
900000,990,1313,190,299,1039,1262
1000000,989,1308,190,217,1023,1275
3000000,1036,1300,199,217,1077,1256
5000000,1085,1405,208,230,1127,1391
7000000,1234,1577,235,248,1275,1533
9000000,1085,1386,208,229,1131,1347
