BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,350,511,73,110,363,495
300,401,606,82,116,415,561
500,453,628,91,122,473,621
700,404,570,82,116,423,561
900,497,695,100,128,519,708
1000,452,636,91,124,465,606
3000,647,857,127,146,673,891
5000,644,807,127,141,665,854
7000,599,659,118,121,619,703
9000,644,723,127,124,669,735
10000,649,624,127,110,673,665
30000,693,624,136,106,723,663
50000,791,731,154,128,825,764
70000,745,916,145,150,767,983
90000,846,794,163,125,875,865
100000,744,668,145,106,769,702
300000,890,765,171,124,921,841
500000,987,1106,190,165,1035,1139
700000,938,1144,181,176,979,1245
900000,891,1109,172,178,925,1161
1000000,990,1304,189,204,1025,1339
3000000,1134,1493,217,224,1177,1514
5000000,1089,1417,208,208,1133,1439
7000000,1186,1572,226,224,1241,1601
9000000,1136,1485,216,222,1179,1527
