BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,255,1693,55,1627,265,1868
300,402,2483,82,2400,417,2637
500,405,2507,82,2379,417,2675
700,451,2540,91,2475,467,2737
900,448,2225,91,2253,461,2382
1000,497,2358,100,2415,511,2515
3000,595,2563,118,2385,619,2682
5000,598,2472,118,2351,621,2575
7000,598,2487,117,2316,619,2598
9000,696,3096,136,2938,723,3223
10000,693,3413,136,4314,721,3325
30000,747,3090,145,2846,775,3165
50000,793,3305,153,3070,823,3401
70000,742,3073,145,2851,771,3198
90000,745,3854,145,3557,775,3978
100000,797,4307,154,3746,831,4408
300000,938,5169,181,4529,981,5245
500000,990,7292,189,6588,1033,7360
700000,1036,5559,199,5017,1079,5652
900000,989,5097,189,4908,1021,5172
1000000,1040,5736,199,5192,1083,5808
3000000,1088,6455,208,5939,1129,6541
5000000,1087,6256,207,5898,1125,6307
7000000,1185,7559,225,6712,1233,7411
9000000,1136,6487,216,6297,1171,6532
