BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,161,529,110,123,121,212
300,132,417,81,104,93,185
500,227,415,167,150,170,222
700,231,437,163,150,168,225
900,209,421,146,141,152,212
1000,164,362,104,119,107,181
3000,290,527,211,173,215,260
5000,258,503,180,162,189,251
7000,309,437,224,183,222,247
9000,310,417,228,171,229,231
10000,331,480,238,179,244,263
30000,385,482,290,204,292,277
50000,339,452,237,164,240,238
70000,414,491,310,216,309,294
90000,418,499,317,222,313,297
100000,342,457,233,156,237,250
300000,426,597,320,279,315,389
500000,403,681,288,277,286,408
700000,395,682,277,281,272,399
900000,535,759,417,367,412,495
1000000,577,846,444,388,442,528
3000000,467,715,343,308,338,431
5000000,559,822,430,392,424,522
7000000,477,752,342,313,336,430
9000000,518,794,388,366,383,501
