BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,122,2300,74,1432,83,1985
300,204,3348,158,2587,165,3097
500,227,4079,156,2863,164,3785
700,223,3635,160,2667,166,3650
900,199,3085,132,2087,142,2798
1000,186,2792,125,1979,129,2585
3000,222,2808,149,1895,159,2528
5000,262,3157,179,2210,181,2989
7000,295,5355,222,2558,226,6390
9000,259,3199,176,2283,184,2986
10000,329,4243,242,3147,248,3980
30000,337,4873,245,3873,250,4663
50000,370,4896,276,3691,277,4664
70000,379,5296,279,4366,280,5085
90000,356,6272,262,4872,263,5979
100000,356,5088,258,3782,257,4835
300000,382,6417,286,4824,283,6138
500000,443,6465,326,4810,320,6150
700000,525,7672,414,6085,408,7418
900000,472,7973,358,6085,355,7636
1000000,461,9546,355,8355,350,9789
3000000,513,9012,388,6898,378,8764
5000000,463,8222,332,5931,328,7845
7000000,606,10362,479,8300,471,10068
9000000,567,9385,433,7272,426,9113
